Episode,Rewards, QoS violation, Action type
690,358.04123,0.0182,0
691,358.023,0.01823,0
692,358.00473,0.01827,5
693,358.98648,0.01825,5
694,359.96825,0.01823,2
695,360.95004,0.01821,2
696,361.93184,0.0182,0
697,361.91361,0.01823,0
698,361.89534,0.01827,2
699,362.87711,0.01823,2
700,363.8589,0.01821,2
701,364.84074,0.01816,2
702,365.82263,0.01811,2
703,366.80457,0.01806,2
704,367.78657,0.018,2
705,368.7686,0.01797,2
706,369.7507,0.0179,2
707,370.7328,0.0179,0
708,370.71487,0.01793,0
709,370.69687,0.018,0
710,370.67883,0.01804,0
711,370.66073,0.0181,0
712,370.64256,0.01817,0
713,370.62432,0.01824,0
714,370.60602,0.0183,0
715,370.58769,0.01833,1
716,371.56936,0.01833,2
717,372.55105,0.01831,2
718,373.5328,0.01825,2
719,374.51462,0.01818,2
720,375.49649,0.01813,2
721,376.47842,0.01807,2
722,377.46038,0.01804,2
723,378.44241,0.01797,0
724,378.42437,0.01804,0
725,378.4063,0.01807,2
726,379.38826,0.01804,2
727,380.37027,0.01799,2
728,381.35231,0.01796,2
729,382.33441,0.0179,2
730,383.31656,0.01785,0
731,383.29866,0.0179,0
732,383.28068,0.01798,0
733,383.26267,0.01801,0
734,383.24459,0.01808,0
735,383.22648,0.01811,0
736,383.2083,0.01818,5
737,384.19012,0.01818,2
738,385.17201,0.01811,2
739,386.15393,0.01808,2
740,387.13592,0.01801,2
741,388.11794,0.01798,2
742,389.10003,0.01791,2
743,390.08215,0.01788,2
744,391.0643,0.01785,0
745,391.04641,0.01789,0
746,391.02847,0.01794,0
747,391.01045,0.01802,0
748,390.9924,0.01805,0
749,390.97429,0.01811,0
750,390.95614,0.01815,2
751,391.93801,0.01813,2
752,392.91991,0.0181,2
753,393.90182,0.01809,2
754,394.8838,0.01802,2
755,395.86582,0.01798,2
756,396.84788,0.01794,2
757,397.83,0.01788,0
758,397.81205,0.01795,0
759,397.79406,0.01799,0
760,397.77602,0.01804,0
761,397.7579,0.01812,0
762,397.73975,0.01815,0
763,397.72154,0.01821,0
764,397.70329,0.01825,2
765,398.68507,0.01822,2
766,399.66688,0.01819,2
767,400.64871,0.01817,5
768,401.63055,0.01816,5
769,402.61242,0.01813,3
770,402.59427,0.01815,0
771,402.57606,0.01821,0
772,402.55781,0.01825,0
773,402.53949,0.01832,0
774,402.5211,0.01839,2
775,403.50277,0.01833,2
776,404.48448,0.01829,2
777,405.46622,0.01826,2
778,406.44802,0.0182,2
779,407.42984,0.01818,2
780,408.41174,0.0181,2
781,409.39368,0.01806,2
782,410.37566,0.01802,0
783,410.3576,0.01806,0
784,410.33949,0.01811,0
785,410.3213,0.01819,0
786,410.30308,0.01822,0
787,410.2848,0.01828,0
788,410.26648,0.01832,0
789,410.2481,0.01838,2
790,411.22976,0.01834,2
791,412.21144,0.01832,2
792,413.19316,0.01828,2
793,414.17492,0.01824,2
794,415.15673,0.01819,2
795,416.13856,0.01817,0
796,416.12034,0.01822,0
797,416.10206,0.01828,0
798,416.08373,0.01833,5
799,417.06543,0.0183,5
800,418.04714,0.01829,3
801,418.0288,0.01834,5
802,419.01048,0.01832,5
803,419.99218,0.0183,2
804,420.97392,0.01826,2
805,421.95569,0.01823,2
806,422.93751,0.01818,2
807,423.91937,0.01814,0
808,423.90118,0.01819,2
809,424.88301,0.01817,2
810,425.86487,0.01814,2
811,426.8468,0.01807,2
812,427.82877,0.01803,2
813,428.81078,0.01799,2
814,429.79287,0.01791,2
815,430.77501,0.01786,2
816,431.75718,0.01783,2
817,432.73938,0.0178,0
818,432.72155,0.01783,0
819,432.70368,0.01787,0
820,432.68576,0.01792,0
821,432.66775,0.01801,0
822,432.64968,0.01807,2
823,433.63166,0.01802,2
824,434.61373,0.01793,2
825,435.59585,0.01788,2
826,436.57801,0.01784,2
827,437.56019,0.01782,1
828,437.54236,0.01783,2
829,438.52454,0.01782,2
830,439.50681,0.01773,2
831,440.48917,0.01764,4
832,441.47156,0.01761,1
833,442.45395,0.01761,0
834,442.43631,0.01764,0
835,442.41857,0.01774,0
836,442.40074,0.01783,0
837,442.38287,0.01787,0
838,442.36496,0.01791,0
839,442.34701,0.01795,2
840,443.32909,0.01792,2
841,444.3112,0.01789,2
842,445.29333,0.01787,2
843,446.27552,0.01781,2
844,447.25781,0.01771,4
845,448.24013,0.01768,5
846,449.22245,0.01768,5
847,450.2048,0.01765,5
848,451.18717,0.01763,0
849,451.16951,0.01766,0
850,451.15175,0.01776,0
851,451.1339,0.01785,2
852,452.11612,0.01778,2
853,453.09841,0.01771,2
854,454.08073,0.01768,2
855,455.06309,0.01764,2
856,456.0455,0.01759,2
857,457.02797,0.01753,2
858,458.01052,0.01745,2
859,458.9931,0.01742,3
860,458.97565,0.01745,0
861,458.95812,0.01753,4
862,459.94067,0.01745,5
863,460.92322,0.01745,5
864,461.90578,0.01744,5
865,462.88834,0.01744,2
866,463.87095,0.01739,0
867,463.85351,0.01744,1
868,463.83606,0.01745,0
869,463.81853,0.01753,0
870,463.80093,0.0176,2
871,464.7834,0.01753,2
872,465.76593,0.01747,2
873,466.74848,0.01745,2
874,467.7311,0.01738,2
875,468.71376,0.01734,0
876,468.69638,0.01738,5
877,469.679,0.01738,5
878,470.66162,0.01738,1
879,471.64424,0.01738,1
880,472.62686,0.01738,5
881,473.60948,0.01738,5
882,474.5921,0.01738,2
883,475.57476,0.01734,2
884,476.55747,0.01729,2
885,477.54021,0.01726,2
886,478.52298,0.01723,2
887,479.50578,0.0172,0
888,479.48853,0.01725,0
889,479.47125,0.01728,0
890,479.45392,0.01733,0
891,479.43654,0.01738,5
892,480.41918,0.01736,5
893,481.40182,0.01736,5
894,482.38448,0.01734,5
895,483.36714,0.01734,5
896,484.3498,0.01734,5
897,485.33249,0.01731,5
898,486.3152,0.01729,5
899,487.29791,0.01729,5
900,488.28063,0.01728,0
901,488.26331,0.01732,0
902,488.24592,0.01739,0
