, Rewards, QoS violation,,
Episode: 334 ,-80,0.01605, Action type: [1, 2] 
Episode: 335 ,-79,0.016, Action type: [2 2] ,
Episode: 336 ,-80,0.016, Action type: [2, 0] 
Episode: 337 ,-81,0.016, Action type: [2, 1] 
Episode: 338 ,-82,0.01604, Action type: [0, 1] 
Episode: 339 ,-83,0.0161, Action type: [0, 2] 
Episode: 340 ,-84,0.01611, Action type: [0 1] ,
Episode: 341 ,-85,0.01615, Action type: [1, 0] 
Episode: 342 ,-84,0.01611, Action type: [2, 0] 
Episode: 343 ,-83,0.0161, Action type: [2, 1] 
Episode: 344 ,-84,0.01613, Action type: [0, 1] 
Episode: 345 ,-85,0.01616, Action type: [0, 2] 
Episode: 346 ,-86,0.01617, Action type: [1, 2] 
Episode: 347 ,-85,0.01615, Action type: [1, 2] 
Episode: 348 ,-84,0.01611, Action type: [1, 2] 
Episode: 349 ,-83,0.01607, Action type: [2, 1] 
Episode: 350 ,-84,0.01611, Action type: [0 1] ,
Episode: 351 ,-85,0.01615, Action type: [2, 1] 
Episode: 352 ,-86,0.01618, Action type: [0, 2] 
Episode: 353 ,-87,0.01618, Action type: [0, 2] 
Episode: 354 ,-88,0.0162, Action type: [0, 2] 
Episode: 355 ,-89,0.0162, Action type: [2, 0] 
Episode: 356 ,-90,0.0162, Action type: [2, 0] 
Episode: 357 ,-89,0.01618, Action type: [2 0] ,
Episode: 358 ,-90,0.01618, Action type: [2, 1] 
Episode: 359 ,-91,0.01622, Action type: [0, 2] 
Episode: 360 ,-92,0.01623, Action type: [0, 2] 
Episode: 361 ,-93,0.01623, Action type: [1, 2] 
Episode: 362 ,-92,0.0162, Action type: [0, 2] 
Episode: 363 ,-93,0.0162, Action type: [2, 1] 
Episode: 364 ,-94,0.01625, Action type: [2, 1] 
Episode: 365 ,-95,0.0163, Action type: [0, 1] 
Episode: 366 ,-96,0.01633, Action type: [1, 2] 
Episode: 367 ,-95,0.01632, Action type: [0, 2] 
Episode: 368 ,-96,0.01632, Action type: [0, 1] 
Episode: 369 ,-97,0.01635, Action type: [2, 1] 
Episode: 370 ,-98,0.01641, Action type: [2, 1] 
Episode: 371 ,-99,0.01642, Action type: [2, 1] 
Episode: 372 ,-100,0.01646, Action type: [0, 1] 
Episode: 373 ,-101,0.01654, Action type: [0, 2] 
Episode: 374 ,-102,0.01654, Action type: [0, 2] 
Episode: 375 ,-103,0.01656, Action type: [0, 2] 
Episode: 376 ,-104,0.01656, Action type: [2, 1] 
Episode: 377 ,-105,0.01662, Action type: [0, 1] 
Episode: 378 ,-106,0.01669, Action type: [0, 1] 
Episode: 379 ,-107,0.01674, Action type: [0, 2] 
Episode: 380 ,-108,0.01674, Action type: [0, 2] 
Episode: 381 ,-109,0.01675, Action type: [0, 2] 
Episode: 382 ,-110,0.01677, Action type: [0, 1] 
Episode: 383 ,-111,0.01681, Action type: [0, 1] 
Episode: 384 ,-112,0.01684, Action type: [0, 1] 
Episode: 385 ,-113,0.01691, Action type: [2, 1] 
Episode: 386 ,-114,0.01694, Action type: [1, 0] 
Episode: 387 ,-113,0.01689, Action type: [0, 2] 
Episode: 388 ,-114,0.01691, Action type: [0, 2] 
Episode: 389 ,-115,0.01695, Action type: [0, 1] 
Episode: 390 ,-116,0.017, Action type: [2, 1] 
Episode: 391 ,-117,0.017, Action type: [0, 1] 
Episode: 392 ,-118,0.01704, Action type: [0, 2] 
Episode: 393 ,-119,0.01708, Action type: [0, 2] 
Episode: 394 ,-120,0.01708, Action type: [0, 2] 
Episode: 395 ,-121,0.01709, Action type: [0, 1] 
Episode: 396 ,-122,0.01714, Action type: [0, 1] 
Episode: 397 ,-123,0.0172, Action type: [0, 1] 
Episode: 398 ,-124,0.01727, Action type: [0 0] ,
Episode: 399 ,-125,0.01727, Action type: [1, 2] 
Episode: 400 ,-124,0.01721, Action type: [0, 2] 
Episode: 401 ,-125,0.01721, Action type: [0, 1] 
Episode: 402 ,-126,0.01728, Action type: [2, 0] 
Episode: 403 ,-127,0.01728, Action type: [1 1] ,
Episode: 404 ,-128,0.01728, Action type: [0, 2] 
Episode: 405 ,-129,0.01728, Action type: [0 1] ,
Episode: 406 ,-130,0.01735, Action type: [1, 2] 
Episode: 407 ,-129,0.01729, Action type: [2 0] ,
Episode: 408 ,-128,0.01728, Action type: [2, 0] 
Episode: 409 ,-129,0.01728, Action type: [0 0] ,
Episode: 410 ,-130,0.01728, Action type: [0, 2] 
Episode: 411 ,-131,0.01728, Action type: [0, 2] 
Episode: 412 ,-132,0.01729, Action type: [0, 2] 
Episode: 413 ,-133,0.01729, Action type: [1, 0] 
Episode: 414 ,-132,0.01722, Action type: [2, 0] 
Episode: 415 ,-133,0.01722, Action type: [2, 0] 
Episode: 416 ,-132,0.01721, Action type: [0, 1] 
Episode: 417 ,-133,0.01728, Action type: [0, 2] 
Episode: 418 ,-134,0.01729, Action type: [0, 2] 
Episode: 419 ,-135,0.01729, Action type: [1, 0] 
Episode: 420 ,-134,0.01722, Action type: [2, 0] 
Episode: 421 ,-135,0.01722, Action type: [2, 1] 
Episode: 422 ,-136,0.01728, Action type: [0, 1] 
Episode: 423 ,-137,0.01735, Action type: [0, 1] 
Episode: 424 ,-138,0.01743, Action type: [0, 2] 
Episode: 425 ,-139,0.01744, Action type: [0, 2] 
Episode: 426 ,-140,0.01744, Action type: [1, 0] 
Episode: 427 ,-139,0.01736, Action type: [2, 0] 
Episode: 428 ,-140,0.01736, Action type: [2, 1] 
Episode: 429 ,-141,0.01743, Action type: [0, 1] 
Episode: 430 ,-142,0.01751, Action type: [0, 1] 
Episode: 431 ,-143,0.01758, Action type: [0, 2] 
Episode: 432 ,-144,0.01759, Action type: [1, 2] 
Episode: 433 ,-143,0.01752, Action type: [2 0] ,
Episode: 434 ,-144,0.01752, Action type: [2, 1] 
Episode: 435 ,-145,0.01758, Action type: [0, 1] 
Episode: 436 ,-146,0.0176, Action type: [0, 1] 
Episode: 437 ,-147,0.01766, Action type: [0, 1] 
Episode: 438 ,-148,0.01773, Action type: [1 1] ,
Episode: 439 ,-149,0.01773, Action type: [1, 2] 
Episode: 440 ,-148,0.01767, Action type: [0, 2] 
