, Rewards,QoS violation,,
Episode: 439 ,250.01552,0.01535, Action type: [2, 1] 
Episode: 440 ,250.00007,0.01545, Action type: [1, 0] 
Episode: 441 ,250.98472,0.01535, Action type: [0 0] ,
Episode: 442 ,251.96937,0.01535, Action type: [1, 0] 
Episode: 443 ,252.95405,0.01532, Action type: [1, 2] 
Episode: 444 ,253.93877,0.01528, Action type: [0, 1] 
Episode: 445 ,253.92345,0.01532, Action type: [0, 1] 
Episode: 446 ,253.9081,0.01535, Action type: [2, 1] 
Episode: 447 ,253.89266,0.01544, Action type: [2, 1] 
Episode: 448 ,253.87719,0.01547, Action type: [2, 0] 
Episode: 449 ,254.86174,0.01545, Action type: [1, 0] 
