,Rewards,QoS violation,
Episode: 399 ,230.85102,0.01412, Action type: 0 
Episode: 400 ,230.83689,0.01413, Action type: 0 
Episode: 401 ,230.82274,0.01415, Action type: 0 
Episode: 402 ,230.80857,0.01417, Action type: 0 
Episode: 403 ,231.7944,0.01417, Action type: 5 
Episode: 404 ,232.78023,0.01417, Action type: 5 
Episode: 405 ,233.76608,0.01415, Action type: 5 
Episode: 406 ,234.75195,0.01413, Action type: 5 
Episode: 407 ,235.73783,0.01412, Action type: 2 
Episode: 408 ,236.72377,0.01406, Action type: 4 
Episode: 409 ,236.70965,0.01412, Action type: 2 
Episode: 410 ,237.69559,0.01406, Action type: 2 
Episode: 411 ,238.68155,0.01404, Action type: 0 
Episode: 412 ,238.66749,0.01406, Action type: 0 
Episode: 413 ,239.65343,0.01406, Action type: 0 
Episode: 414 ,240.63937,0.01406, Action type: 3 
Episode: 415 ,241.62534,0.01403, Action type: 0 
Episode: 416 ,241.6113,0.01404, Action type: 0 
Episode: 417 ,241.59725,0.01405, Action type: 2 
Episode: 418 ,242.58321,0.01404, Action type: 2 
Episode: 419 ,243.56919,0.01402, Action type: 2 
Episode: 420 ,244.55518,0.01401, Action type: 2 
Episode: 421 ,245.54117,0.01401, Action type: 2 
Episode: 422 ,246.52721,0.01396, Action type: 4 
Episode: 423 ,246.5132,0.01401, Action type: 0 
Episode: 424 ,246.49917,0.01403, Action type: 0 
Episode: 425 ,246.48513,0.01404, Action type: 0 
Episode: 426 ,246.47108,0.01405, Action type: 0 
Episode: 427 ,246.45702,0.01406, Action type: 0 
Episode: 428 ,246.44295,0.01407, Action type: 0 
Episode: 429 ,246.42886,0.01409, Action type: 2 
Episode: 430 ,247.41483,0.01403, Action type: 2 
Episode: 431 ,248.40083,0.014, Action type: 2 
Episode: 432 ,249.38685,0.01398, Action type: 2 
Episode: 433 ,250.37295,0.0139, Action type: 0 
Episode: 434 ,251.35905,0.0139, Action type: 5 
Episode: 435 ,252.34515,0.0139, Action type: 0 
Episode: 436 ,253.33125,0.0139, Action type: 0 
